"";"longitude";"latitude";"unixtime";"file_name";"velocidades"
"311";-79,8821234;-2,1901037;2017-10-28 17:10:00;"158";5,09
"425";-79,882089788918;-2,19011564572282;2017-10-28 17:10:00;"159";0
"537";-79,8828828233417;-2,18588249706147;2017-10-28 17:10:01;"161";0
"198";-79,882105;-2,19012;2017-10-28 17:10:02;"157";0
"664";-79,882864638267;-2,18590631503416;2017-10-28 17:10:02;"162";4,12
"785";-79,8828766734569;-2,1857683755038;2017-10-28 17:10:02;"165";0
"1991";-79,8849422950298;-2,18705541919917;2017-10-28 17:10:02;"183";0
"2517";-79,8829379882425;-2,18614460407716;2017-10-28 17:10:02;"188";52,22
"312";-79,8821234;-2,1901037;2017-10-28 17:10:05;"158";0
"426";-79,882089788918;-2,19011564572282;2017-10-28 17:10:05;"159";0
"538";-79,8828828233417;-2,18588249706147;2017-10-28 17:10:06;"161";0
"1743";-79,88283392;-2,1859164;2017-10-28 17:10:06;"181";1,27
"199";-79,882105;-2,19012;2017-10-28 17:10:07;"157";0
"665";-79,882864638267;-2,18590631503416;2017-10-28 17:10:07;"162";0
"786";-79,8828766734569;-2,1857683755038;2017-10-28 17:10:07;"165";0
"1397";-79,88009252;-2,18661109;2017-10-28 17:10:07;"178";47,22
"1992";-79,8849422950298;-2,18705541919917;2017-10-28 17:10:07;"183";0
"2518";-79,8830437214083;-2,18662885557075;2017-10-28 17:10:07;"188";42,48
"313";-79,8821234;-2,1901037;2017-10-28 17:10:10;"158";0
"427";-79,882089788918;-2,19011564572282;2017-10-28 17:10:10;"159";0
"539";-79,8828828233417;-2,18588249706147;2017-10-28 17:10:11;"161";0
"200";-79,882025;-2,19020833333333;2017-10-28 17:10:12;"157";12,12
"666";-79,882864638267;-2,18590631503416;2017-10-28 17:10:12;"162";0
"787";-79,8829084891931;-2,18583337704234;2017-10-28 17:10:12;"165";6,97
"1398";-79,88031075;-2,18701821;2017-10-28 17:10:12;"178";45,03
"2142";-79,8816170780347;-2,18712234649263;2017-10-28 17:10:12;"184";81,44
"2519";-79,8832071057238;-2,1870592955651;2017-10-28 17:10:12;"188";42,76
