"";"latitude";"longitude";"unixtime";"velocidades";"file_name"
"13";41,907481;12,490642;2014-02-12 12:00:03;1;349
"14";41,903843;12,489094;2014-02-12 12:00:04;0;131
"18";41,908025;12,491546;2014-02-12 12:00:04;0;320
"19";41,903175;12,496139;2014-02-12 12:00:05;0;100
"79";41,907659;12,490316;2014-02-12 12:00:05;0;81
"85";41,903611;12,488528;2014-02-12 12:00:06;0;85
"88";41,908097;12,492091;2014-02-12 12:00:08;7;237
"93";41,904282;12,494281;2014-02-12 12:00:09;0;242
"100";41,905907;12,489741;2014-02-12 12:00:10;0;48
"164";41,907512;12,490602;2014-02-12 12:00:13;1;349
"161";41,903843;12,489094;2014-02-12 12:00:13;0;131
"165";41,907645;12,490327;2014-02-12 12:00:13;0;81
"167";41,908025;12,491546;2014-02-12 12:00:14;0;320
"168";41,903173;12,496128;2014-02-12 12:00:16;1;100
"180";41,903611;12,488528;2014-02-12 12:00:16;0;85
"20";41,908009;12,491859;2014-02-12 12:00:18;0;237
"25";41,904282;12,494281;2014-02-12 12:00:19;0;242
"31";41,905907;12,489741;2014-02-12 12:00:20;0;48
"42";41,907548;12,490579;2014-02-12 12:00:23;0;349
"40";41,903843;12,489094;2014-02-12 12:00:23;0;131
"43";41,907645;12,490327;2014-02-12 12:00:23;0;81
"47";41,908023;12,491568;2014-02-12 12:00:24;1;320
"51";41,903128;12,496134;2014-02-12 12:00:27;3;100
"59";41,903611;12,488528;2014-02-12 12:00:27;0;85
"60";41,907992;12,491875;2014-02-12 12:00:28;0;237
"65";41,904282;12,494281;2014-02-12 12:00:29;3;242
"72";41,905907;12,489741;2014-02-12 12:00:30;0;48
"111";41,907566;12,49056;2014-02-12 12:00:33;0;349
"109";41,903843;12,489094;2014-02-12 12:00:33;0;131
"113";41,907645;12,490327;2014-02-12 12:00:33;0;81
"120";41,908001;12,491591;2014-02-12 12:00:35;2;320
"117";41,903078;12,496072;2014-02-12 12:00:35;0;100
"124";41,903611;12,488528;2014-02-12 12:00:36;3;85
"127";41,907981;12,491878;2014-02-12 12:00:37;0;237
"138";41,904229;12,49438;2014-02-12 12:00:40;0;242
"140";41,905907;12,489741;2014-02-12 12:00:40;0;48
"151";41,907645;12,490327;2014-02-12 12:00:43;0;81
"153";41,903843;12,489094;2014-02-12 12:00:44;0;131
"191";41,907566;12,49056;2014-02-12 12:00:45;0;349
"190";41,907958;12,491626;2014-02-12 12:00:45;0;320
"156";41,903083;12,496089;2014-02-12 12:00:45;1;100
"203";41,903636;12,488644;2014-02-12 12:00:47;0;85
"207";41,907976;12,491887;2014-02-12 12:00:49;0;237
"208";41,904228;12,49438;2014-02-12 12:00:49;0;242
"216";41,905907;12,489741;2014-02-12 12:00:50;8;48
"250";41,907566;12,49056;2014-02-12 12:00:53;0;349
"248";41,903843;12,489094;2014-02-12 12:00:53;0;131
"251";41,907645;12,490327;2014-02-12 12:00:53;0;81
"256";41,907958;12,491626;2014-02-12 12:00:54;0;320
"258";41,903101;12,496113;2014-02-12 12:00:55;1;100
"265";41,908855;12,498621;2014-02-12 12:00:56;27;367
"266";41,903636;12,488644;2014-02-12 12:00:56;0;85
"267";41,907974;12,49189;2014-02-12 12:00:57;0;237
"201";41,904234;12,494389;2014-02-12 12:01:00;0;242
"221";41,906118;12,489707;2014-02-12 12:01:00;0;48
"230";41,903843;12,489094;2014-02-12 12:01:03;0;131
"232";41,908946;12,498619;2014-02-12 12:01:04;30;171
"235";41,907958;12,491626;2014-02-12 12:01:04;0;320
"236";41,907645;12,490327;2014-02-12 12:01:04;0;81
"237";41,903138;12,496089;2014-02-12 12:01:05;2;100
"293";41,903634;12,488655;2014-02-12 12:01:06;0;85
"295";41,907974;12,49189;2014-02-12 12:01:07;0;237
"302";41,907566;12,49056;2014-02-12 12:01:08;1;349
"307";41,904229;12,494402;2014-02-12 12:01:10;0;242
"311";41,906118;12,489707;2014-02-12 12:01:10;6;48
"279";41,907555;12,490589;2014-02-12 12:01:13;0;349
"274";41,903843;12,489094;2014-02-12 12:01:13;0;131
"281";41,907958;12,491626;2014-02-12 12:01:14;0;320
"284";41,907645;12,490327;2014-02-12 12:01:14;0;81
"341";41,903134;12,496164;2014-02-12 12:01:16;1;100
"347";41,903634;12,488655;2014-02-12 12:01:16;0;85
"349";41,907974;12,49189;2014-02-12 12:01:17;0;237
"389";41,904227;12,49441;2014-02-12 12:01:19;0;242
"392";41,906072;12,489513;2014-02-12 12:01:19;12;48
"405";41,90756;12,490589;2014-02-12 12:01:23;0;349
"406";41,907645;12,490327;2014-02-12 12:01:23;0;81
"407";41,903843;12,489094;2014-02-12 12:01:24;0;131
"312";41,907958;12,491626;2014-02-12 12:01:24;2;320
"313";41,903107;12,496165;2014-02-12 12:01:25;0;100
"324";41,903634;12,488655;2014-02-12 12:01:26;0;85
"326";41,907974;12,49189;2014-02-12 12:01:27;0;237
"336";41,904226;12,494382;2014-02-12 12:01:30;1;242
"337";41,90601;12,489055;2014-02-12 12:01:30;15;48
"362";41,907553;12,490587;2014-02-12 12:01:33;0;349
"364";41,903843;12,489094;2014-02-12 12:01:34;0;131
"373";41,907891;12,491658;2014-02-12 12:01:35;0;320
"375";41,907645;12,490327;2014-02-12 12:01:35;0;81
"376";41,903108;12,496176;2014-02-12 12:01:36;0;100
